[Normal Axes]|en|ru
boots_pirate_captains_boots|Pirate Captain's Boots|Ботфорты капитана
boots_death_lords_marchers|Death Lord's Marchers|Поступь Владыки смерти
boots_vikings_sacred_boots|Viking's Sacred Boots|Священные сапоги викинга
boots_boots_of_blood|Boots of Blood|Кровавые сапоги
boots_hermes_boots|Hermes Boots|Сандалии Гермеса
boots_treasure_hunters_boots|Treasure Hunter's Boots|Сапоги кладоискателя
boots_gladiators_battle_sandals|Gladiator's Battle Sandals|Боевые сандалии гладиатора
boots_dantes_boots|Dante's Boots|Сапоги Данте
boots_sacred_marchers|Sacred Marchers|Священная поступь
boots_boots_of_wild|Boots of Wild|Сапоги диких земель
boots_flaming_marchers|Flaming Marchers|Пламенная поступь
boots_mosarathim_marchers|Mos'Arathim Marchers|Следы Мос-Аратима
boots_vagabonds_marchers|Vagabond's Marchers|Сапоги бродяги
boots_bone_conjurers_marchers|Bone Conjurer's Marchers|Поступь костяного мага
boots_lumberjacks_forestry_boots|Lumberjack's Forestry Boots|Лесные сапоги лесоруба
boots_bloodletters_plated_boots|Blood-letter's Plated Boots|Латные сапоги кровопускателя
boots_shield_bearers_greaves|Shield Bearer's Greaves|Поножи щитоносца
boots_juggernauts_victory_marchers|Juggernaut's Victory Marchers|Триумфальная поступь Джаггернаута
boots_justiciars_thunder_boots|Justiciar's Thunder Boots|Громовые сапоги юстициария
boots_lost_masters_marchers|Lost Master's Marchers|Следы павшего мастера
boots_earth_shapers_boots|Earth Shaper's Boots|Сапоги ваятеля земли
boots_plunderers_deck_marchers|Plunderer's Deck Marchers|Палубные сапоги грабителя
boots_battle_worn_boots|Battle Worn Boots|Побитые в боях сапоги
boots_steadfast_marchers|Steadfast Marchers|Стойкая поступь
boots_spiked_greaves|Spiked Greaves|Шипастые поножи
boots_arena_masters_marchers|Arena Master's Marchers|Поступь мастера арены
boots_satans_molten_steps|Satan's Molten Steps|Раскаленный шаг Сатаны
boots_pearlescent_dream|Pearlescent Dream|Жемчужная греза
boots_manawoven_walkers|Mana-Woven Walkers|Манотканые сапоги
boots_whisper_walkers_feiyue|Whisper Walker's Feiyue|Путы Шепчущего странника
boots_voodoo_stompers|Voodoo Stompers|Топтуны вуду
boots_grand_wizards_silk_shoes|Grand Wizard's Silk Shoes|Шелковые туфли архимага
boots_lava_treaders|Lava Treaders|Лавоходы
boots_deep_chilled_marchers|Deep Chilled Marchers|Промозглая поступь
boots_wind_walkers_step|Wind Walker's Step|Шаг Ветрохода
boots_arch_wizards_silk_boots|Arch Wizard's Silk Boots|Шелковые сапоги архимага
boots_chronomancers_omnipotence|Chronomancer's Omnipotence|Всевластие хрономанта
boots_ymirs_freezing_boots|Ymir's Freezing Boots|Ледяные сапоги Имира
boots_einars_icy_stride|Einar's Icy Stride|Ледяной шаг Эйнара
boots_grimbones_marchers|Grimbone's Marchers|Поступь Мрачной кости
boots_aetherflow_treads|Aetherflow Treads|Сапоги эфирного потока
boots_runescribes_striders|Runescribe's Striders|Сапоги рунного писца
boots_players_choice|Pla-Yer's Choice|Выбор Иг-Рока
boots_mosarathims_kicks|Mos'Arathim's Kicks|Башмаки Мос-Аратима
boots_stalwart_sabatons|Stalwart Sabatons|Незыблемые сабатоны
boots_onslaught_stompers|Onslaught Stompers|Топтуны натиска
boots_mystic_soles|Mystic Soles|Мистическая поступь
boots_enigmas_riftwalkers|Enigma's Riftwalkers|Рифтоходы Энигмы
boots_vipermagis_sprinters|Vipermagi's Sprinters|Бегуны Випермага
boots_tareks_tradeoff|Tarek's Tradeoff|Сделка Тарека
boots_lunar_prophets_walkers|Lunar Prophet's Walkers|Путы лунного пророка
boots_soulflaming_marchers|Soulflaming Marchers|Поступь пламени душ
boots_arcs_walkers|Arc's Walkers|Сапоги Арка
boots_marchers_of_hatred|Marcher's of Hatred|Следы ненависти
boots_thunder_callers_treads|Thunder Caller's Treads|Поступь призывателя грома
boots_steampowered_flamewalkers|Steampowered Flamewalkers|Паровые огнеходы
boots_developer_boots|DEVELOPRE BOOT|САПОГ РАЗРАБОТЧИКА
boots_lost_at_sea|Stranded Boot|Выброшенный на берег сапог
boots_rocket_boots|Rocket Boots|Ракетные сапоги
boots_fumas_favela_flipflop|Fumacinha´s Favela Flipflop|Шлепанцы из фавел Фумасиньи
boots_metal_vocalists_war_boots|Metal Vocalist´s War Boots|Боевые сапоги метал-вокалиста
boots_venom_roamers|Venom Roamers|Ядовитый след
boots_thunder_roamers|Thunder Roamers|Громовой след
boots_chaoswalkers|Chaoswalkers|Поступь Хаоса
boots_chilling_roamers|Chilling Roamers|Леденящий след
boots_scorching_roamers|Scorching Roamers|Обжигающий след
boots_astral_roamers|Astral Roamers|Астральный след
boots_brutal_roamers|Brutal Roamers|Лютая поступь
boots_deserts_storm|Desert´s Storm|Пустынная буря
boots_adamant_roamers|Adamant Roamers|Несокрушимая поступь
||
lore_boots_wind_walkers_step|An ancient martial artist knows to go by the name of Wind Walker was said to be so agile he could run in the air using these carefully crafted boots.|Говорят, древний мастер боевых искусств, известный как Ветроход, был настолько искусен, что в этих сапогах мог бежать прямо по воздуху.
lore_boots_pearlescent_dream|In our dreams we are released from the mortal burden; in our own bubble we can conquer the largest mountain or swim in the deepest ocean.|В снах мы сбрасываем бремя смертных; в собственном коконе грез мы покоряем высочайшие пики и опускаемся на дно глубочайших морей.
lore_boots_grimbones_marchers|Boots made of from the skin and bones of a thousand falled soldiers.|Сапоги, сшитые из кожи и костей тысячи павших воинов.
lore_boots_soulflaming_marchers|Burning in agony are the souls entrapped in this pair of boots..|Души, заточенные в этой паре сапог, вечно горят в агонии...
lore_boots_marchers_of_hatred|I just hate these dolls and the maggots feasting on its carcass..|Я просто ненавижу этих кукол и личинок, пирующих на их останках...
lore_boots_developer_boots|I went to the store to buy some of them nuggets but the store was closed so I called my mom and tripped on the side of the road, fell into a hole and appeared in front of a church. They were serving soup for the homeless and this guy comes to me and tells me ‘Hey man you look like you like nuggets, I know exactly the place’. So I follow him to a dark alley and we go inside this moldy appartment and he gives me this white rock kind of thing and tells me this is better than nuggets, we spent the whole night vaping this rock and those were the best nuggets I’ve ever eaten. |Пошел я как-то за наггетсами, но лавка была закрыта. Позвонил маме, споткнулся на обочине, провалился в яму и очутился перед церковью. Там кормили бездомных, и один тип шепчет: «Эй, парень, любишь наггетсы? Есть тут местечко». Мы пошли в темный переулок, в какую-то плесневелую конуру, и он дал мне штуку, похожую на белый камень. Сказал, это круче наггетсов. Мы всю ночь курили этот камень через вейп, и это были лучшие наггетсы в моей жизни.
lore_boots_lost_at_sea|Closer to astronauts than anyone other on the planet|Ближе к звездам, чем кто-либо иной на этой планете.
lore_boots_fumas_favela_flipflop|Flipflopping max speed running from the Policia Militar|Бег вприпрыжку на запредельной скорости от военной полиции.
lore_boots_metal_vocalists_war_boots|Stomping the ground amplifying the sweet sound of metal!|Сотрясайте землю, усиливая грохот истинного металла!
lore_boots_deserts_storm|The storm is brewing, guiding your every step..|Буря назревает, направляя каждый Ваш шаг...
lore_boots_chaoswalkers|Walk through the chaos like a king..|Ступайте сквозь хаос с королевским величием...
lore_boots_thunder_roamers|Walk through the thunder like odin..|Ступайте сквозь гром, подобно Одину...
lore_boots_venom_roamers|Walk through the venom like a snake..|Скользите сквозь яд, подобно змее...
lore_boots_chilling_roamers|Walk through the tundra like a viking..|Пересекайте тундру, подобно викингу...
lore_boots_scorching_roamers|Walk through the flames like a dragon..|Шествуйте сквозь пламя, подобно дракону...
lore_boots_astral_roamers|Walk through the astral planes like a wizard..|Скитайтесь по астральным мирам, подобно чародею...
lore_boots_brutal_roamers|Walk through the battlefield like a god of war..|Ступайте по полю брани, подобно богу войны...
lore_boots_adamant_roamers|Walk through the mountain like a siege ram..|Проходите сквозь горы, подобно осадному тарану...
||
craft_boots_arcs_walkers|Arc´s Walkers are powerful boots designed for leveling providing increased experience gain for characters below level 100.|Ходоки Арка — мощные сапоги для повышения уровня, дающие бонус к опыту персонажам ниже 100-го уровня.
||
[amulets]||
amulets_normal_golden_amulet|Amulet|Амулет
amulets_normal_silver_necklace|Locket|Медальон
amulets_normal_jade_stone|Pearls|Жемчужное ожерелье
amulets_normal_skull_trophy|Talisman|Талисман
amulets_normal_hawks_claw_amulet|Carcanet|Золотое ожерелье
amulets_normal_elven_necklace|Necklace|Ожерелье
||
[amulets_unique]||
amulets_all_seeing_eye|All Seeing Eye|Всевидящее око
amulets_high_demons_necklace|High Demon's Necklace|Ожерелье высшего демона
amulets_satans_precious|Satan's Precious|Сокровище Сатаны
amulets_shining_pearl|Shining Pearl|Сияющая жемчужина
amulets_gurags_soul|Gurag's Pebble|Окатыш Гурага
amulets_anubis_oculus|Anubis Oculus|Око Анубиса
amulets_tals_pendant|Tal's Pendant|Кулон Тала
amulets_damiens_soulstone|Damien's Soulstone|Камень души Дэмиена
amulets_steves_necklace|Steve's Necklace|Ожерелье Стива
amulets_baby_log_necklace|Baby Log Necklace|Ожерелье Малютки Лога
amulets_treasure_pendant|Treasure Pendant|Подвеска сокровищ
amulets_ritual_pendant|Ritual Pendant|Ритуальный кулон
amulets_nobunagas_warrior_spirit|Nobunaga's Warrior Spirit|Дух воина Нобунаги
amulets_visages_eye|Visage's Eye|Око Облика
amulets_elders_heart|Elder's Heart|Сердце старейшины
amulets_devils_gem|Devil's Gem|Дьявольский самоцвет
amulets_aztec_necklace|Aztec Necklace|Ацтекское ожерелье
amulets_sacred_pendant|Sacred Pendant|Священный кулон
amulets_spirit_pendant|Spirit Pendant|Кулон духов
amulets_rift_warriors_skull|Rift Warrior's Skull|Череп воина Разлома
amulets_ravens_claw|Raven's Claw|Коготь ворона
amulets_eye_of_horus|Eye of Horus|Око Гора
amulets_pyramid_pendant|Pyramid Pendant|Кулон-пирамида
amulets_storm_pendant|Storm Pendant|Штормовой кулон
amulets_travelers_compass|Traveler's Compass|Компас странника
amulets_pendant_of_eternity|Pendant of Eternity|Кулон вечности
amulets_juggernauts_emblem|Juggernaut's Emblem|Эмблема Джаггернаута
amulets_engineers_master_pendant|Engineer's Master Pendant|Мастер-кулон инженера
amulets_bone_conjurers_mask|Bone Conjurer's Mask|Маска костяного призывателя
amulets_venoms_necklace|Venom's Necklace|Ожерелье Венома
amulets_champions_medal_of_valor|Champion's Medal of Valor|Медаль доблести воителя
amulets_plunderers_spy_glass|Plunderer's Spy Glass|Подзорная труба грабителя
amulets_kalliks_fury|Kallik's Fury|Ярость Каллика
amulets_unfathomable_puzzle|Unfathomable Puzzle|Непостижимая загадка
amulets_philosophers_stone|Philosopher's Stone|Философский камень
amulets_charcoal_momento|Charcoal Memento|Угольный сувенир
amulets_coldfire_amulet|Coldfire Amulet|Амулет ледяного огня
amulets_serpentine_necklace|Serpentine Necklace|Змеиное ожерелье
amulets_compass_of_wealth|Compass of Wealth|Компас богатства
amulets_dark_lords_sigil|Dark Lord's Sigil|Печать Темного Владыки
amulets_lost_dieties_authority|Lost Dieties Authority|Власть утраченных божеств
amulets_thunderstone_amulet|Thunderstone Amulet|Амулет из громового камня
amulets_earth_goliaths_protection|Earth Goliath's Protection|Защита земного голиафа
amulets_claw_of_bloodthirsty|Claw of the Bloodthirsty|Коготь кровожадного
amulets_arcana_eye|Arcana Eye|Око Арканы
amulets_scouts_medal_of_honor|Scout's Medal of Honor|Почетная медаль скаута
amulets_claw_of_hunter|Claw of the Hunter|Коготь охотника
amulets_amethyst_knights_amulet|Amethyst Knight's Amulet|Аметистовый амулет рыцаря
amulets_chronomancers_curio_of_time|Chronomancer's Curio of Time|Реликвия времени хрономанта
amulets_ymirs_frozen_tear|Ymir's Frozen Tear|Ледяная слеза Имира
amulets_insignia_of_hunter|Insignia of the Hunter|Знак отличия охотника
amulets_lifeblood_infuser|Lifeblood Infuser|Инъектор жизненной силы
amulets_arcane_slayers_talisman|Arcane Slayer's Talisman|Талисман убийцы магов
amulets_rapidshell_medallion|Rapidshell Medallion|Медальон стремительного панциря
amulets_soulreplenish_pendant|Soulreplenish Pendant|Кулон восполнения душ
amulets_eagerblades_tooth|Eagerblade's Tooth|Зуб Неистового клинка
amulets_coldsnap_insignia|Coldsnap Insignia|Знак Ледяного плена
amulets_insignia_of_burning_legion|Insignia of the Burning Legion|Знак отличия Пылающего легиона
amulets_gamblers_demise|Gambler's Demise|Погибель азартного игрока
amulets_stone_of_archaeology|Stone of Archaeology|Камень археологии
amulets_tarethiels_fall|Tarethiel's Fall|Падение Таретиэля
amulets_amulet_of_colosseum|Amulet of Colosseum|Амулет Колизея
amulets_liliths_scorn|Lilith's Scorn|Презрение Лилит
amulets_arcs_sigil|Arc's Sigil|Сигил Арка
amulets_light_bringers_mark|Light Bringer's Mark|Знак Несущего Свет
amulets_gryphons_claw|Gryphon´s Claw|Коготь грифона
amulets_eagles_claw|Eagle´s Claw|Коготь орла
amulets_thoths_agony|Thoth´s Agony|Агония Тота
amulets_metal_vocalists_pentagram|Metal Vocalist´s Pentagram|Пентаграмма метал-вокалиста
amulets_dragons_eye|Dragon´s Eye|Око дракона
amulets_signet_of_kadosh|Signet of Kadosh|Печать Кадоша
amulets_shadow_beacon|Shadow Beacon|Теневой маяк
||
lore_amulets_philosophers_stone|Through alchemy, this magical stone hold wisdom, wealth and health within that can be manifested with pure intention.|Посредством алхимии этот магический камень заключает в себе мудрость, богатство и здравие, кои могут быть явлены лишь чистым намерением.
lore_amulets_compass_of_wealth|Infinite fortune awaits those who follow where the pin points.|Неисчерпаемые богатства ждут того, кто последует зову стрелки.
lore_amulets_pendant_of_eternity|As time ticks away, this pendant holds all of time within it, the beginning and the end, all at once.|Пока время ускользает сквозь пальцы, сей кулон хранит в себе саму вечность — начало и конец, сплетенные воедино.
lore_amulets_amulet_of_colosseum|The mark of a true gladiator.|Знак истинного гладиатора.
lore_amulets_liliths_scorn|You shall follow thee, as she shall walk the earth once again..|Вы последуете за ней, когда она вновь ступит на эту землю...
lore_amulets_eagles_claw|From miles high they spot their target. Then it’s time to execute.|Они настигают цель с заоблачных высот. Пришло время казни.
lore_amulets_thoths_agony|The core of suffering worn by the arch mystic Thoth..|Средоточие страданий, что носил верховный мистик Тот...
lore_amulets_metal_vocalists_pentagram|The sigil of an eternal blood pact with the devil..|Символ вечного кровавого договора с дьяволом...
lore_amulets_dragons_eye|The stare of the elder dragon scorching your presence..|Взор древнего дракона, испепеляющий саму Вашу сущность...
lore_amulets_signet_of_kadosh|We support ourselves only on that which resists, and owe our success to opposition.|Мы опираемся лишь на то, что сопротивляется, и обязаны своим успехом лишь преградам.
lore_amulets_shadow_beacon|The glowing sentry standing firmly in the shadows of death..|Сияющий часовой, неколебимо стоящий в тени смерти...
||
craft_amulets_arcs_sigil|Arc´s Sigil is a powerful amulet designed for leveling providing increased experience for characters gain below level 100.|Сигил Арка — могущественный амулет для развития, дающий бонус к опыту персонажам ниже 100-го уровня.
||
[charms]||
charms_normal_small_charm|Small Charm|Малый талисман
charms_normal_large_charm|Large Charm|Большой талисман
charms_normal_grand_charm|Grand Charm|Великий талисман
||
[charms_unique]||
charms_raiders_torch|Raider's Torch|Факел налетчика
charms_eye_of_skadi|Eye of Skadi|Око Скади
charms_apple_of_evolution|Apple of Evolution|Яблоко эволюции
charms_moonshard|Moonshard|Осколок Луны
charms_solar_charm|Solar Charm|Солнечный оберег
charms_aztec_coin|Aztec Coin|Ацтекская монета
charms_beetle_of_life|Beetle of Life|Жук жизни
charms_tals_deathskull|Tal's Deathskull|Череп смерти Тала
charms_gurags_heart_charm|Gurag's Heart Charm|Сердечный оберег Гурага
charms_anubis_ankh_charm|Anubis' Ankh Charm|Анкх Анубиса
charms_damiens_cage|Damien's Cage|Клетка Дэмиена
charms_satans_chalice|Satan's Chalice|Чаша Сатаны
charms_steve|Hello its me, Steve!|Привет, это я, Стив!
charms_rednecks_keychain|Redneck's Keychain|Брелок деревенщины
charms_pirate_captains_flag|Pirate Captain's Flag|Флаг пиратского капитана
charms_death_lords_zombie_head|Death Lord's Zombie Head|Голова зомби Владыки смерти
charms_marksmans_quiver|Marksman's Quiver|Колчан стрелка
charms_wind_token|Wind Token|Символ ветра
charms_doctors_mask_in_jar|Doctor's Mask in a Jar|Маска лекаря в сосуде
charms_heart_of_agony|Heart of Agony|Сердце агонии
charms_aztec_devil|Aztec Devil|Ацтекский дьявол
charms_sacred_owl|Sacred Owl|Священная сова
charms_flaming_coin|Flaming Coin|Пылающая монета
charms_torch_of_shadows|Torch of Shadows|Факел теней
charms_travelers_map_journal|Traveler's Map Journal|Путевой журнал странника
charms_engineers_mini_drone|Engineer's Mini Drone|Мини-дрон инженера
charms_zealots_beads_of_destruction|Zealot's Beads of Destruction|Четки разрушения фанатика
charms_bone_conjurers_trophy|Bone Conjurer's Trophy|Трофей костяного призывателя
charms_champions_signet|Champion's Signet|Печатка воителя
charms_plunderers_gunpowder_bag|Plunderer's Gunpowder Bag|Пороховой мешок грабителя
charms_fulgurite|Fulgurite|Фульгурит
charms_loaded_dice|Loaded Dice|Шулерские кости
charms_annihilus|Annihilator|Аннигилус
charms_bag_of_unknown_riches|Bag of Unknown Riches|Мешок неведомых богатств
charms_spine_trophy|Spine Trophy|Трофейный позвоночник
charms_angelic_key|Angelic Key|Ангельский ключ
charms_cold_giants_charm|Cold Giant's Charm|Оберег морозного великана
charms_jacks_pumpkin_spice|Jack's Pumpkin Spice|Тыквенная пряность Джека
charms_shrunken_head|Shrunken Head|Трофейная голова
charms_tarethiels_ancient_wisdom|Tarethiel's Ancient Wisdom|Древняя мудрость Таретиэля
charms_sheep_kings_wool|Sheep King's Wool|Шерсть Короля овец
charms_vikings_glyphed_rune|Viking's Glyphed Rune|Руна с викинжьими глифами
charms_witches_claw|Witches Claw|Ведьмин коготь
charms_adventurers_quiver|Adventurer's Quiver|Колчан искателя приключений
charms_mark_of_black_knight|Mark of the Black Knight|Знак черного рыцаря
charms_hardened_steel_defender|Hardened Steel Defender|Закаленный стальной защитник
charms_canopic_jar_of_blood|Canopic Jar of Blood|Канопа с кровью
charms_sundial_of_ancient_worlds|Sundial of Ancient Worlds|Солнечные часы древних миров
charms_water_melon|Water Melon|Водный мелон
charms_earth_melon|Earth Melon|Земляной мелон
charms_fire_melon|Fire Melon|Огненный мелон
charms_air_melon|Air Melon|Воздушный мелон
charms_supreme_elemelon|Supreme Elemelon|Высший элемелон
charms_torsteins_anvil|Torstein's Anvil|Наковальня Торстейна
charms_arcane_pumpkin|Arcane Pumpkin|Арканная тыква
charms_rotten_pumpkin|Rotten Pumpkin|Гнилая тыква
charms_supreme_elemelon_fake|Tomtomtomtomtom|Том-том-том-том
charms_eye_of_rakhul|Eye of Rakhul|Око Рахула
charms_liliths_wrath|Lilith's Wrath|Гнев Лилит
charms_divine_crack_pipe|Divine Crackpipe|Божественная трубка
charms_abominations_heart|Abomination's Heart|Сердце мерзости
charms_abominations_brain|Abomination's Brain|Мозг мерзости
charms_abominations_eye|Abomination's Eye|Око мерзости
charms_plague_shot|Plague Shot|Чумной выстрел
charms_barrel_of_explosives|Barrel of Explosives|Бочка со взрывчаткой
charms_the_detonator|The Detonator|Детонатор
charms_gas_canister|Gas Canister|Канистра с газом
charms_forking_bolts|Forking Bolts|Разрывные болты
charms_reverse_card|Reverse Card|Карта возврата
charms_tablet_of_awakening|Tablet of Awakening|Скрижаль пробуждения
charms_crows_feather|Crow's Feather|Перо ворона
charms_sassys_dislocated_foot|Sassy´s Dislocated Foot|Вывихнутая стопа Сэсси
charms_chaos_gemstone|Chaos Gemstone|Самоцвет Хаоса
charms_fingerOfDespair|Finger of Despair|Палец отчаяния
charms_sobeks_fall|Sobek´s Fall|Падение Собека
charms_graxys_mom_lure|Graxy´s Mom Lure|Приманка Мамаши Гракси
charms_almighty_nugget|The Almighty Nugget|Всемогущий самородок
charms_orange_grayon|Orange Grayon|Оранжевый мелок
charms_aimbot_exe|Aimbot.exe|Aimbot.exe
charms_storm_in_vial|Storm In A Vial|Буря во флаконе
charms_dev_charm_small|Dev Charm Small|Малый талисман творца
charms_dev_charm_large|Dev Charm Large|Большой талисман творца
charms_dev_charm_grand|Dev Charm Grand|Великий талисман творца
charms_dragons_heart|Dragon´s Heart|Сердце дракона
charms_wizards_dice|Wizard´s Dice|Кости волшебника
charms_gladiators_dice|Gladiator´s Dice|Кости гладиатора
charms_bobs_grenade|Bob´s Grenade|Граната Боба
charms_cursed_gyroscope|Cursed Gyroscope|Проклятый гироскоп
charms_mysterious_monkey_paw|Mysterious Monkey Paw|Таинственная обезьянья лапа
charms_dibbik_box|Dibbik Box|Ящик диббука
charms_mystery_card|Mystery Card|Загадочная карта
charms_overloaded_dice|Overloaded Dice|Перегруженные кости
charms_devils_pact|Devil´s Pact|Договор с дьяволом
charms_soul_collector|Soul Collector|Собиратель душ
charms_tiny_planet|Tiny Planet|Крошечная планета
charms_telescope|Telescope|Телескоп
charms_nomads_corpse|Nomad´s Rotten Corpse|Гнилой труп кочевника
charms_voodoo_doll|Voodoo Doll|Кукла вуду
||
lore_charms_loaded_dice|In the shadowed corners of a mystical realm, where chance and fate entwined like threads in a cosmic tapestry, a legendary artifact was born.|В сумрачных закоулках мистического мира, где случай и рок переплелись нитями в космическом гобелене, был рожден сей легендарный артефакт.
lore_charms_tarethiels_ancient_wisdom|From the depths of the catacombs, Tarethiel's elder souls were combined into this singular point, granting knowledge and power to a hero in need.|Из глубин катакомб души старейшин Таретиэля были слиты воедино, даруя знания и мощь герою в час нужды.
lore_charms_torch_of_shadows|Torch forged and lighted in the Shadow Realms that has some odd properties, spreading darkness in the mortal world where there should be light.|Факел, выкованный и зажженный в Мире теней. Он обладает странным свойством нести тьму в мир смертных там, где должен сиять свет.
lore_charms_fulgurite|The power of this charm is determined by the skill of its creator. You just never know if its worthy or not..|Сила этого талисмана зависит лишь от мастерства создателя. Никогда не угадаешь, окажется ли он достойным...
lore_charms_water_melon|One of the ancient Elemelons grown in the garden of Eden.|Один из древних элемелонов, взращенных в Эдемском саду.
lore_charms_earth_melon|One of the ancient Elemelons grown in the garden of Eden.|Один из древних элемелонов, взращенных в Эдемском саду.
lore_charms_fire_melon|One of the ancient Elemelons grown in the garden of Eden.|Один из древних элемелонов, взращенных в Эдемском саду.
lore_charms_air_melon|One of the ancient Elemelons grown in the garden of Eden.|Один из древних элемелонов, взращенных в Эдемском саду.
lore_charms_supreme_elemelon|Elemelon Singularity.|Сингулярность элемелона.
lore_charms_torsteins_anvil|Many armors and weapons have been forged using this..|На этой наковальне были выкованы бесчисленные доспехи и мечи...
lore_charms_arcane_pumpkin|A pumpkin gushing with arcane energy grown in the garden of Eden.|Тыква, сочащаяся арканной энергией; родом из садов Эдема.
lore_charms_rotten_pumpkin|One disgusting rotten pumpkin oozing with slime forgotten in the darkest corner of the Pumpkin Cellar.|Мерзкая гнилая тыква, истекающая слизью; забытая в самом темном углу Тыквенного погреба.
lore_charms_supreme_elemelon_fake|Server is burning|Сервер в огне
lore_charms_eye_of_rakhul|King Rakhul's eye, a trophy of absolute brutality without comparision!|Око короля Рахула — беспримерный трофей чистой жестокости.
lore_charms_liliths_wrath|The agony burns withing the wretched one.. It extends by the minute.. It never ends..|Агония сжигает несчастного изнутри... С каждой минутой она всё сильнее... И конца ей нет.
lore_charms_divine_crack_pipe|Sweet dreams are made of these..|Из этого сотканы сладкие грезы...
lore_charms_plague_shot|One a day keeps the plague away.|Раз в день — и чума не страшна.
lore_charms_gas_canister|I JUST WANT TO SEE THE WORLD ON FIRE!!!|Я ПРОСТО ХОЧУ ВИДЕТЬ ЭТОТ МИР В ОГНЕ!!!
lore_charms_reverse_card|With great power comes no responsibility|Великая сила не несет никакой ответственности.
lore_charms_tablet_of_awakening|An emerald tablet capable of awakening ones inner power|Изумрудная скрижаль, способная пробудить дремлющую внутри мощь.
lore_charms_sassys_dislocated_foot|It´s disgusting, a putrid lump of meat..|Отвратительный, гнилой кусок плоти...
lore_charms_chaos_gemstone|Forged in the darkest depths of the ether..|Выкован в чернейших безднах эфира...
lore_charms_fingerOfDespair|Dislocated from Amun Ra´s hand by a noble warrior..|Вырван из руки Амона-Ра благородным воином...
lore_charms_sobeks_fall|The decapitated head of a crocolisk enchanted with dark powers..|Отсеченная голова кроколиска, зачарованная темными силами...
lore_charms_graxys_mom_lure|Thrown to the bottom of the barrel..|Брошена на самое дно...
lore_charms_almighty_nugget|Elias already took a bite..|Элиас уже откусил кусочек...
lore_charms_orange_grayon|Emotional damage..|Эмоциональная травма...
lore_charms_aimbot_exe|So far undetected by VAC..|Пока не обнаружен VAC...
lore_charms_storm_in_vial|A powerful storm locked into a vial..|Яростная буря, заточенная во флакон...
lore_charms_dragons_heart|Smite your foes with the power of the elder dragon..|Поразите врагов мощью древнего дракона...
lore_charms_wizards_dice|Throw your faith in rolling the dice..|Доверьте свою судьбу броску костей...
lore_charms_gladiators_dice|Throw your faith in rolling the dice..|Доверьте свою судьбу броску костей...
lore_charms_bobs_grenade|CAUTION: Short fuse.|ОСТОРОЖНО: Короткий запал.
lore_charms_cursed_gyroscope|Absolute balance, wherever you go..|Полное равновесие, куда бы вы ни направились...
lore_charms_mysterious_monkey_paw|Be careful of what you wish, it might come true..|Бойтесь своих желаний, ибо они могут исполниться...
lore_charms_dibbik_box|Holds an ancient entity inside, not to open!|Хранит в себе древнюю сущность. Не открывать!
lore_charms_mystery_card|What might this be..|Что бы это могло быть?..
lore_charms_overloaded_dice|Emitting powerful energy from within..|Излучает колоссальную энергию...
lore_charms_devils_pact|An eternal pact made with the devil, signed in blood.. Binding your bloodline forever..|Вечный договор с дьяволом, подписанный кровью... Он свяжет ваш род навеки.
lore_charms_soul_collector|Triggers chemical reactions in released souls..|Вызывает реакции в освобожденных душах...
lore_charms_tiny_planet|Fuma loves tikka masala|Фума обожает тикка-масала.
lore_charms_telescope|Fuma loves the designated street|Фума обожает эту улицу.
lore_charms_nomads_corpse|Left to rot for an eternity, ignored by society and even good samaritans..|Брошен гнить навечно, забытый обществом и даже добрыми самаритянами...
lore_charms_voodoo_doll|Fuck..|Проклятье...
craft_charms_supreme_elemelon|Combine the power of melons into a superior elemelon.|Объедините силу мелонов, чтобы создать великий элемелон.
||
[shields]||
shields_normal_wooden_shield|Wooden Shield|Деревянный щит
shields_normal_buckler|Buckler|Баклер
shields_normal_steel_ward|Steel Ward|Стальной оберег
shields_normal_small_crescent|Small Crescent|Малый полумесяц
shields_normal_aegis|Aegis|Эгида
shields_normal_kite_shield|Kite Shield|Каплевидный щит
shields_normal_bone_shield|Bone Shield|Костяной щит
shields_normal_luna|Luna|Луна
shields_normal_royal_shield|Royal Shield|Королевский щит
shields_normal_monarch|Monarch|Монарх
shields_normal_tribal_ward|Tribal Ward|Племенной оберег
||
[shields_unique]||
shields_ancient_aegis|Ancient Aegis|Древняя эгида
shields_tombstone|Tombstone|Надгробная плита
shields_rift_eye|Rift Eye|Око Разлома
shields_demons_mirror|Demon's Mirror|Зеркало демона
shields_the_templar|The Templar|Тамплиер
shields_lancers_wall|Lancer's Wall|Стена улана
shields_shadow_buckler|Shadow Buckler|Теневой баклер
shields_wall_of_legion|Wall of the Legion|Стена легиона
shields_suomi_finland_perkele|SUOMI FINLAND PERKELE|SUOMI FINLAND PERKELE
shields_den_glider_in|Den Glider In|Плавно входит
shields_gladiators_wall|Gladiator's Wall|Гладиаторская стена
shields_sacred_aegis|Sacred Aegis|Священная эгида
shields_aztec_ward|Aztec Ward|Ацтекский оберег
shields_ward_of_toxicity|Ward of Toxicity|Оберег от токсичности
shields_storm_gladiators_wall|Storm Gladiator's Wall|Стена штормового воителя
shields_thunder_lords_aegis|Thunder Lord's Aegis|Эгида Повелителя грома
shields_crystal_infused_shield|Crystal Infused Shield|Кристаллический щит
shields_vagabonds_ward|Vagabond's Ward|Оберег бродяги
