[Normal Axes]|en|ru
armors_grimbones_ribcage|Grimbone's Ribcage|
armors_odins_battlearmor|Odin's Battlearmor|
armors_ironclad_protector|Ironclad Protector|
armors_magiward_battlegear|Magiward Battlegear|
armors_wardbreaker_armor|Wardbreaker Armor|
armors_aegisweave_robes|Aegisweave Robes|
armors_solar_prophets_robe|Solar Prophet's Robes|
armors_stoneplate_of_corruption|Stoneplate of Corruption|
armors_butchers_aprin|Butcher's Apron|
armors_gabriels_broken_wings|Gabriel's Broken Wings|
armors_thunder_callers_robe|Thunder Caller's Robe|
armors_muspelheim_guardians_scorched_plate|Muspelheim Guardian's Scorched Plate|
armors_venomsteel_carapace|Venomsteel Carapace|
armors_isarius_ironthorn_breastplate|Isarius Ironthorn Breastplate|
armors_executioneers_cocoon|Executioner's Cocoon|
armors_mantle_exiled_pagan|Exiled Pagan´s Mantle|
armors_runemasters_mantle|Runemaster´s Mantle|
armors_glacial_gladiators_armor|Glacial Gladiator´s Armor|
armors_magma_gladiators_armor|Magma Gladiator´s Armor|
armors_scourge_gladiators_armor|Scourge Gladiator´s Armor|
armors_arcane_gladiators_armor|Arcane Gladiator´s Armor|
armors_grand_archwizards_mantle|Grand Arch Wizard´s Mantle|
armors_pit_fighters_band_shirt|Pit Fighter´s Band Shirt|
armors_dragon_knights_vanguard|Dragon Knight´s Vanguard|
armors_wraiths_cloak|Wraith´s Cloak|
armors_arcanists_wrath|Arcanist´s Wrath|
armors_sharpshooters_cloak|Sharpshooter´s Cloak|
||
lore_armors_gem_kings_garb|In a hall bedecked with jewels, the king, consumed by greed, bestows his blessings at a cost.Insert Pristine Gems to unlock ancient powers.|Одеяние короля самоцветов. В залах, ослепительно сияющих золотом, монарх, чью душу сожрала алчность, раздает свои дары... но цена их страшна. Вставь безупречные камни, чтобы пробудить мощь былых эпох.|
lore_armors_tundra_hunters_long_coat|In the storms of a cold and frozen tundra, a lone hunter is stalking his prey.|Одеяние того, кто сам стал частью ледяного шторма. В этой шкуре охотник превращается в безмолвный призрак тундры, неумолимо следующий по следу жертвы там, где сама жизнь замерзает на лету.|
lore_armors_thunder_guardians_plate|A noble warrior, infused with the storm in their veins, descends to protect the innocent.|В каждом звене этих лат заточена ярость шторма. Воин, надевший их, становится живым воплощением небесного правосудия: его естество полнится громом, а его присутствие приносит кару нечестивым и спасение тем, кто уже не надеялся увидеть рассвет|
lore_armors_st_judas_hauberk|High above the celestial realms, upon His resplendent throne, the Divine Observer gazes upon the entirety of creation, His eyes reaching every corner of existence. As the cosmic architect of justice, He unfailingly discerns the threads of fate, ready to mete out fair judgment to those who tread the paths of righteousness or wickedness.|Хауберк святого Иуды. В заоблачных высях, на сияющем троне, Божественный Наблюдатель взирает на прах земной; Его всевидящее око пронзает мрак в каждом закоулке бытия. Как великий зодчий справедливости, Он неумолимо распутывает нити рока, готовя кару грешным и воздаяние праведным.|
lore_armors_grimbones_ribcage|Ribcage of a thousand souls forged from the corpses of fallen warriors in Niflhel.|Костяной панцирь, в который вплавлены тысячи душ. Он был выкован из останков тех, кто нашел свой бесславный конец в ледяных безднах Нифльхеля.|
lore_armors_stoneplate_of_corruption|From the darkest pits of hell, forged in the pool of lost souls wields its carrier with eternal corruption..|Каменные латы Скверны. Выкованные в самых черных ямах преисподней, в омуте заблудших душ, эти плиты клеймят своего носителя печатью вечного проклятия..|
lore_armors_gabriels_broken_wings|The broken wings of a fallen angel..|Сломленные крылья падшего ангела. Истерзанные, почерневшие перья падшего ангела, чей свет навсегда угас..|
lore_armors_tayrels_chestplate|Chestplate of the divine singularity..|Нагрудник Тайреля. Панцирь божественной сингулярности, в котором заключена мощь созидания и первородного хаоса..|
lore_armors_executioneers_cocoon|Splattered by blood of the executioned|Кокон палача. Слой за слоем пропитанный запекшейся, зловонной кровью бесчисленных казненных.|
lore_armors_mantle_exiled_pagan|Exiled for preaching a false prophecy.. The mantle reeks of dark energy..|Одеяние еретика, изгнанного за слова, что отравляли умы. От этой ткани разит удушливой энергией запретных истин, которые лучше было бы оставить погребенными во тьме веков.
lore_armors_grand_archwizards_mantle|Perfectly preserved through the test of time holding immense power within..|Мантия великого архимага. Неподвластная тлену веков, она по сей день вибрирует от заключенной внутри колоссальной, едва сдерживаемой магии..|
lore_armors_pit_fighters_band_shirt|The classic dirty band shirt.. Commanding respect within the pit!|Футболка бойца ямы. Классическая грязная рвань, впитавшая пот и кровь арен. Только такая одежда внушает уважение в настоящей, беспощадной мясорубке!|
lore_armors_dragon_knights_vanguard|Forged within the searing heat of a dragon´s den..|Этот доспех был выкован в нестерпимом жару драконьего логова. Металл всё еще хранит в себе ярость древнего пламени, способную испепелить любого агрессора|
lore_armors_wraiths_cloak|Death sees no elements, a luck of the draw..|Саван призрака. Смерть слепа к стихиям и рангам — для неё ты лишь очередная карта в колоде рока, и этот плащ напоминает об этом каждым своим мертвенно-холодным касанием.|
lore_armors_arcanists_wrath|Once worn by a guardian of the magistrate..|Гнев арканиста. Эти доспехи некогда защищали элитного стража магистрата, пока тот не сгорел в пламени собственной силы..|
lore_armors_sharpshooters_cloak|Merciless aim, absolutely unhinged..|Плащ стрелка. Беспощадная, противоестественная точность, граничащая с полным, беспросветным помешательством..|
||
[helms]||
helmet_normal_cap|Cap|Шапка
helmet_normal_casque|Casque|Каск
helmet_normal_basinet|Basinet|Бацинет
helmet_normal_war_hat|War Hat|Боевая шляпа
helmet_normal_great_helm|Great Helm|Большой шлем
helmet_normal_war_visage|War Visage|Боевой лик
helmet_normal_shako|Shako|Шако
helmet_normal_horned_helm|Horned Helm|Рогатый шлем
helmet_normal_basilisk_skull|Basilisk Skull|Череп василиска
||
[helms_unique]||
helmet_harlequin_crest|Harlequinn's Crest|
helmet_harlequins_veil|Harlequinn's Veil|
helmet_colossal_avenger|The Colossal Avenger|
helmet_demon_warlords_helm|Demon Warlord's Helm|
helmet_the_bucket|The Bucket|
helmet_sky_crusader_helm|Sky Crusader Helm|
helmet_helm_of_dominator|Helm of Dominator|
helmet_faceless_priest|The Faceless Priest|
helmet_uabels_helmet|Uabel's Helmet|
helmet_reapers_hood|Reaper's Hood|
helmet_genjis_battle_helmet|Genji's Battle Helmet|
helmet_mevius_mighty_helmet|Mevius' Mighty Helmet|
helmet_flame_gods_helmet|Flame God's Helmet|
helmet_ice_kings_crown|Ice King's Crown|
helmet_zeus_circlet|Zeus' Circlet|
helmet_rednecks_cap|Redneck's Cap|
helmet_pirate_captains_hat|Pirate Captain's Hat|
helmet_death_lords_crown|Death Lord's Crown|
helmet_thors_battle_cap|Thor's Battle Cap|
helmet_vikings_sacred_helmet|Viking's Sacred Helmet|
helmet_nomads_sand_bandana|Nomad's Sand Bandana|
helmet_nobunagas_battle_helmet|Nobunaga's Battle Helmet|
helmet_gladiators_skullet|Gladiator's Skullet|
helmet_doctors_visage|Doctor's Visage|
helmet_aztec_crown|Aztec Crown|
helmet_wendigo_skull|Wendigo Skull|
helmet_judge_jury_executioner|Judge, Jury & Executioner|
helmet_death_knights_visage|Death Knight's Visage|
helmet_ancient_avenger|Ancient Avenger|
helmet_burning_gaze|Burning Gaze|
helmet_sight_of_gods|Sight Of The Gods|
helmet_zealots_guise_of_doom|Zealot's Guise of Doom|
helmet_flame_diviners_refuge|Flame Diviner's Refuge|
helmet_lumberjacks_safety_helm|Lumberjack's Safety Helm|
helmet_bloodletters_crown|Blood-letter's Crown|
helmet_venoms_skull|Venom's Skull|
helmet_shield_bearers_crown|Shield Bearer's Crown|
helmet_juggernauts_siege_helm|Juggernaut's Siege Helm|
helmet_lost_masters_vision|Lost Master's Vision|
helmet_valkyries_winged_helm|Valkyrie's Winged Helm|
helmet_surgical_mask|Surgical Mask|
helmet_battle_worn_visor|Battle Worn Visor|
helmet_underworlds_skullbreaker|Underworld's Skullbreaker|
helmet_sand_travelers_guise|Sand Traveler's Guise|
helmet_crown_of_holy_one|Crown of the Holy One|
helmet_guise_of_dead|Guise of the Dead|
helmet_veil_of_mystery|Veil of Mystery|
helmet_crown_of_north|Crown of the North|
helmet_tenebris_grievance|Tenebris' Grievance|
helmet_mask_of_beyond|Mask of the Beyond|
helmet_pit_lords_vanquisher|Pit Lord's Vanquisher|
helmet_lava_kings_lost_mask|Lava King's Lost Mask|
helmet_grand_champion|The Grand Champion|
helmet_crown_of_midnight|Crown of Midnight|
helmet_nikitas_kj33_helmet|Nikita's KJ-33 Helmet|
helmet_curator_of_secrets|The Curator of Secrets|
helmet_sheep_kings_crown|Sheep King's Crown|
helmet_warlords_fury|Warlord's Fury|
helmet_witches_brimmed_hat|Witches Brimmed Hat|
helmet_assassins_hood|Assassin's Hood|
helmet_knight_captains_helmet|Knight Captain's Helmet|
helmet_chronomancers_observance|Chronomancer's Observance|
helmet_sand_manipulators_mask|Sand Manipulator's Mask|
helmet_ymirs_frozen_shroud|Ymir's Frozen Shroud|
helmet_einars_horned_helmet|Einar's Horned Helmet|
helmet_gabriels_brimmed_fedora|Gabriel's Brimmed Fedora|
helmet_grimbones_visage|Grimbone's Visage|
helmet_odins_eternal_visage|Odin's Eternal Visage|
helmet_aetherweavers_veil|Aetherweaver's Veil|
helmet_sentinels_headguard|Sentinel's Headguard|
helmet_executioners_headplate|Executioner's Headplate|
helmet_bloodthirsters_warhelm|Bloodthirster's Warhelm|
helmet_mages_starshroud|Mage's Starshroud|
helmet_reavers_headplate|Reaver's Headplate|
helmet_judas_broken_halo|Juda's Broken Halo|
helmet_solar_prophets_crown|Solar Prophet's Crown|
helmet_lunar_prophets_tiara|Lunar Prophet's Tiara|
helmet_butchers_hood|Butcher's Hood|
helmet_gabriels_dauntless_vision|Gabriel's Dauntless Vision|
helmet_thunder_callers_veil|Thunder Caller's Veil|
helmet_high_rollers_crown|High Roller´s Deathcrown|
helmet_gaze_of_the_oblivion|Gaze of the Oblivion|
helmet_eternal_death|Eternal Death|
helmet_metal_vocalists_leather_mask|Metal Vocalist´s Leather Mask|
helmet_dragon_knights_helmet|Dragon Knight´s Helmet|
helmet_crown_of_doom|Crown of Doom|
helmet_lucifers_crown|Lucifer´s Crown|
helmet_mask_of_celestial|Mask of the Celestial|
helmet_veil_of_consecration|Veil of Consecration|
||
lore_helmet_crown_of_north|Forged from tarethium deep in the glacial caves of Danethorpe. The ancient Jötunn tribe used to make these..|Этот венец, выкованный из таретиума в ледяных склепах Данеторпа, хранит в себе хладную ярость древних йотунов — племени, чьи сердца были тверже вековых ледников.|
lore_helmet_tenebris_grievance|Tenebris was a legendary battlefield medic specialized in amputations. He used this weird kind of substance to relieve pain..|Тенебрис был печально известным костоправом, чье мастерство в ампутациях граничило с безумием. Шлем всё еще источает едкий запах того снадобья, которым он заглушал крики обреченных, лишая их боли вместе с остатками разума..|
lore_helmet_pit_lords_vanquisher|From the dark pits of Tarethiel, a legendary gladiator's visage carries the strength of ten warriors and memories of untold battles.|Из темных глубин Таретиэля явился этот легендарный шлем. В его чертах запечатлен триумф величайшего гладиатора, а внутри пульсирует мощь десяти сильнейших мужей. Он хранит память о битвах, само упоминание которых заставляет содрогаться нынешних королей.|
lore_helmet_lava_kings_lost_mask|In the depths of Muspelheim, forged from the ever-flowing molten rock by an ancient being who seeks to be freed once more.|Эта маска соткана из вечно бурлящей магмы руками существа, чей возраст исчисляется эпохами. Творец вложил в раскаленный камень частицу своей измученной души, стремясь обрести свободу через того, кто осмелится надеть этот огненный венец и стать его проводником в мире живых.|
lore_helmet_nikitas_kj33_helmet|Let there be carnage or bloodshed, keep your head protected and vision clear.|Пусть мир вокруг захлебывается в резне и тонет в крови — твоя голова останется целой, а взор — ледяным и ясным. В самом сердце бойни этот шлем станет гранью, отделяющей твой разум от безумия.|
lore_helmet_sight_of_gods|Eyes of judgment cast from above, see the world with their gaze once more.|Венец из почерневшего от звездной пыли золота, дарующий владельцу взор карающего божества. Взгляни на этот бренный мир очами тех, кто вершит судьбы с небесных престолов. Отныне их праведный суд — это твой взор, от которого не укроется ни одна живая душа..|
lore_helmet_grimbones_visage|Grimbone the hivemind of tormented souls, face of terror to all those who meet their fate in Niflhel.|Лик Гримбона — содрогающееся воплощение коллективного разума истерзанных душ. Это лик абсолютного ужаса для каждого, кому суждено встретить свой конец в туманах Нифльхеля.|
lore_helmet_high_rollers_crown|The next big win is right around the corner, keep going.|Венец тех, кто ставил на кон саму жизнь и проигрывал. Он всё еще пульсирует лихорадочным азартом прошлых владельцев, заставляя тебя верить — в этот раз всё точно будет иначе. Просто не останавливайся.|
lore_helmet_gaze_of_the_oblivion|Deep beyond the void, an ancient being gazes upon the weak mortals…|Там, за пределами пустоты, обитает нечто древнее и чуждое. Оно взирает на немощных смертных, и в его равнодушном взгляде — лишь обещание вечного забвения..|
lore_helmet_eternal_death|The third eye of Amun Ra.. Legends say it is a portal to a barren dimension fueled by the essence of death..|Третий глаз Амона-Ра... Легенды гласят, что это врата в мертвое измерение — бесплодную пустошь, что вечно жаждет новой крови и питается самой сутью смерти..|
lore_helmet_metal_vocalists_leather_mask|The fear inducing leather face with the screamo to live for!|Наводящая ужас кожаная маска, сквозь которую прорывается истошный вопль безумца. В этом крике — вся ярость и жажда жизни, ради которых стоит убивать.|
lore_helmet_dragon_knights_helmet|Can you feel it? The dragon´s breath burning your skin..|Обагренный кровью виверны металл, источающий невыносимый жар. Чувствуешь, как раскаленный металл вгрызается в плоть? Это дыхание древнего змея обжигает твою кожу, закаляя волю в пламени истинной ярости..|
lore_helmet_crown_of_doom|Crown of the most feared warrior to ever entertain the crowd in the colosseum..|Венец самого свирепого гладиатора, когда-либо упивавшегося кровью в Колизее. Эта корона всё еще пахнет гарью и триумфом того, чье имя заставляло толпу содрогаться от восторга и ужаса.|
lore_helmet_lucifers_crown|Forged from divine essence and worn by the morning star..|Выкованный из чистой божественной субстанции, этот венец некогда венчал чело Утренней Звезды, пока тот не пал, осквернив свою святость непомерной гордыней.|
lore_helmet_mask_of_celestial|Caged by the void´s gaze..|Тяжелая, ледяная на ощупь сталь, скованная безмолвным взором Пустоты. В этой маске ты — лишь узник вечного ничто, обреченный созерцать крушение небесных сфер.|
||
[gloves]||
gloves_normal_heavy_gloves|Heavy Gloves|Тяжелые перчатки
gloves_normal_chain_gloves|Chain Gloves|Кольчужные перчатки
gloves_normal_gauntlets|Gauntlets|Рукавицы
gloves_normal_leather_gloves|Leather Gloves|Кожаные перчатки
gloves_normal_snakeskin_gloves|Snakeskin Gloves|Перчатки из змеиной кожи
gloves_normal_heavy_bracers|Heavy Bracers|Тяжелые наручи
gloves_normal_war_gauntlets|War Gauntlets|Боевые рукавицы
gloves_normal_devilhide_gloves|Devilhide Gloves|Перчатки из дьявольской кожи
gloves_normal_vampirebone_gloves|Vampirebone Gloves|Перчатки из кости вампира
gloves_normal_demonbraces|Demonbraces|Демонические наручи
gloves_normal_ogre_gauntlets|Ogre Gauntlets|Огровские рукавицы
gloves_normal_archmage_wraps|Archmage Wraps|Обмотки архимага
||
[gloves_unique]||
gloves_shadows_grasp|Shadow's Grasp|
gloves_midas_hands|Midas' Hands|
gloves_scuttle_crab_gauntlets|Scuttle Crab Gauntlets|
gloves_warmasters_tribal_paws|Warmaster's Tribal Paws|
gloves_deaths_grasp|Death's Grasp|
gloves_anubis_mighty_hands|Anubis' Mighty Hands|
gloves_mevius_mighty_gauntlets|Mevius' Mighty Gauntlets|
gloves_throat_cutters|Throat Cutters|
gloves_thors_battle_gloves|Thor's Battle Gloves|
gloves_nomads_sand_mitts|Nomad's Sand Mitts|
gloves_marksmans_hunting_gloves|Marksman's Hunting Gloves|
gloves_doctors_grasp|Doctor's Grasp|
gloves_dantes_mitts|Dante's Mitts|
gloves_lancers_gauntlets|Lancers Gauntlets|
gloves_devils_grasp|Devil's Grasp|
gloves_gloves_of_wilderness|Gloves of Wilderness|
gloves_hands_of_flame|Hands of Flame|
gloves_conjurer_mitts|Conjurer Mitts|
gloves_zealots_deathbringers|Zealot's Deathbringers|
gloves_bone_conjurers_grips|Bone Conjurer's Grips|
gloves_lumberjacks_safety_gloves|Lumberjack's Safety Gloves|
gloves_bloodletters_plated_gauntlet|Blood-letter's Plated Gauntlet|
gloves_venoms_talons|Venom's Talons|
gloves_champions_fighting_gloves|Champion's Fighting Gloves|
gloves_lost_masters_gauntlets|Lost Master's Gauntlets|
gloves_brawlers_fighting_mitts|Brawler's Fighting Mitts|
gloves_shadow_occultists_wraps|Shadow Occultist's Wraps|
gloves_razor_knuckles|Razor Knuckles|
gloves_siege_breakers|Siege Breakers|
gloves_spellweavers|Spellweavers|
gloves_ahtos_diamond_hands|St. Ahto's Diamond Hands|
gloves_uabels_gloves|Uabel's Gloves|
gloves_battle_worn_gauntlets|Battle Worn Gauntlets|
gloves_wisdoms_hold|Wisdom's Hold|
gloves_imbued_mage_gloves|Imbued Mage Gloves|
gloves_battle_casters_gauntlets|Battle Caster's Gauntlets|
gloves_plated_crimson_defenders|Plated Crimson Defenders|
gloves_sand_manipulators_authority|Sand Manipulator's Authority|
gloves_einars_padded_gauntlets|Einar's Padded Gauntlets|
gloves_rapidcaster_mitts|Rapidcaster Mitts|
gloves_lifeward_gauntlets|Lifeward Gauntlets|
gloves_venomburned_gauntlets|Venomburned Gauntlets|
gloves_sorcerers_surge_grips|Sorcerer's Surge Grips|
gloves_shinobis_deadwraps|Shinobi's Deadwraps|
gloves_vigorous_lifegrips|Vigorous Lifegrips|
gloves_titans_staticguards|Titan's Staticguards|
gloves_thorned_wristguards|Thorned Wristguards|
gloves_demonweavers_heralds|Demonweaver's Heralds|
gloves_rakhuls_stone_hands|Rakhul's Stone Hands|
gloves_demonfire_accelerators|Demonfire Accelerators|
gloves_alis_boxing_gloves|Ali's Boxing Gloves|
gloves_fighter_magis_grips|Fighter Magi's Grips|
gloves_necrocallers_grips|Necrocaller's Grips|
gloves_grasp_of_phoenix|Grasp of the Phoenix|
gloves_arcanum_asphyxiators|Arcanum Asphyxiators|
gloves_tectonic_grips|Tectonic Grips|
gloves_frostbitten_necrosis|Frostbitten Necrosis|
gloves_manahungerers|Manahungerers|
gloves_rimskin_assassin|Rimskin Assassins|
gloves_plague_bringers_touch|Plague Bringer´s Touch|
gloves_pit_fighters_bone_crushers|Pit Fighter´s Bone Crushers|
gloves_shade_of_sand|Shade of Sand|
||
lore_gloves_ahtos_diamond_hands|The diamond hard gloves with the whole of heavens might infused within them, used by Saint Ahto the eternal protector of innocent and righteous.|Сплав закаленного алмаза и небесной благодати, эти перчатки были опорой святого Ахто. Вечный страж невинных, он использовал их мощь, чтобы воздвигнуть нерушимую преграду перед лицом наступающего зла.|
lore_gloves_spellweavers|A great wizard once lived in the deep woods as a hermit and infused part of his power to these gloves that now reveal themselves to those who are pure.|Грубая кожа, изрезанная светящимися рунами, хранит тепло рук великого магистра. Укрывшись от мира в лесной чаще, он вложил в этот доспех часть своей души, что откликнется лишь на зов чистого сердца.|
lore_gloves_midas_hands|And so it was, that everything he touched with the gloves on turned into the finest gold on land.|Мягкая кожа, прошитая нитями из чистого самородного золота. Говорят, что любой предмет, которого коснутся эти перчатки, мгновенно превращается в драгоценный металл, обрекая владельца на вечное богатство и столь же вечное одиночество.|
lore_gloves_shadow_occultists_wraps|The occultist who wore these has immense connection to the Shadow Realm, being able to conjure deadly shadow strikes on command.|Эти обмотки связывают владельца с Царством теней. Один жест — и сама тьма пронзает врага насквозь по вашему приказу.|
lore_gloves_brawlers_fighting_mitts|Marshal Qin Tian was Sung Lee's right hand. This pit lord employed leather mitts adorned with brass knuckles, inflicting significant damage to his foes.|Потёртая кожа и зазубренная латунь хранят эхо криков из гладиаторских ям, где властвовал Цинь Тянь. Будучи правой рукой Сун Ли, он не нуждался в мечах — эти перчатки наносили раны куда более страшные и глубокие.|
lore_gloves_rakhuls_stone_hands|Forged from the hardest and densest stone known to mortals.|Тяжелый обсидиановый блеск этих перчаток выдает их происхождение из самых глубоких и темных каверн мира. Твердость этого камня такова, что он игнорирует сталь, словно сухую солому.|
lore_gloves_demonfire_accelerators|Held only by the seven keystone monks of the luciferian cult, pas.|Грубая кожа, выдубленная в демоническом огне, хранит на себе оттиски клейм семи столпов люциферианского ордена, чья вера была столь же горяча, как и адское пекло.|
lore_gloves_alis_boxing_gloves|With these legendary gloves you will always corner your opponent.|С этими легендарными перчатками враг всегда окажется в ловушке: у него не останется путей к отступлению, лишь краткий миг перед концом
lore_gloves_fighter_magis_grips|Fueled by magic power and expert accuracy!|Магическая воля направляет руку владельца, наделяя каждый удар сверхъестественной, фатальной точностью.|
lore_gloves_necrocallers_grips|From beyond the grave it's grasp will pull souls to fuel the damned..|Костяные пластины, вшитые в огрубевшую кожу, светятся призрачным огнем. Этот доспех не просто защищает руки, он служит кандалами для душ, обреченных питать мощь некроманта.|
lore_gloves_grasp_of_phoenix|Tailored from the feathers of a phoenix as a gift to a god of fire..|Сплетены из огненных перьев феникса в дар богу пламени. Жар, заключенный в них, не угаснет никогда..|
lore_gloves_arcanum_asphyxiators|Legend says these gloves asphyxiated its previous owner..|Мрачное предание гласит, что эти перчатки восстали против собственного творца, сомкнувшись на его горле мертвой хваткой.|
lore_gloves_tectonic_grips|An electric frequency so powerful it can move tectonic plates|В этих перчатках сокрыт гул самой земли. Электрический разряд такой мощи, что одно движение способно расколоть твердь и заставить горы содрогнуться.|
lore_gloves_frostbitten_necrosis|Wearing these requires the ability to withstand temperatures of absolute zero..|Они сотканы из вечного хлада. Чтобы совладать с такой силой и не превратиться в ледяное изваяние, владелец должен сам лишиться тепла и жизни.|
lore_gloves_manahungerers|Craving for mana, these gloves will consume its owner..|Одержимые вечным голодом, эти перчатки не знают меры. Как только мана врагов иссякнет, они примутся за душу своего владельца..|
lore_gloves_rimskin_assassin|This is your meeting with the devil, we're about to sin|Твоя встреча с дьяволом уже предрешена. Настало время отринуть свет и совершить свой последний, самый тяжкий грех.|
lore_gloves_plague_bringers_touch|Can you feel it? Slowly corrupting your veins and organs, bringing the feeling of asphyxiaton..|Чувствуешь? Скверна медленно отравляет вены и плоть, сжимая легкие ледяной хваткой. Это предсмертное удушье уже не остановить..|
lore_gloves_pit_fighters_bone_crushers|Charging into the pit fist first crushing and causing mayhem!|Врывайся в яму кулаками вперед, сея хаос и безумие. Хруст раздробленных костей — единственная музыка, которую признает владелец этих перчаток!|
||
[boots]||
boots_normal_boots|Boots|Сапоги
boots_normal_heavy_boots|Heavy Boots|Тяжелые сапоги
boots_normal_light_plated_boots|Light Plated Boots|Легкие латные сапоги
boots_normal_chain_boots|Chain Boots|Кольчужные сапоги
boots_normal_greaves|Greaves|Поножи
boots_normal_battle_boots|Battle Boots|Боевые сапоги
boots_normal_devilhide_boots|Devilhide Boots|Сапоги из кожи дьявола
boots_normal_mesh_boots|Mesh Boots|Плетеные сапоги
boots_normal_viperskin_boots|Viperskin Boots|Сапоги из кожи гадюки
boots_normal_war_boots|War Boots|Военные сапоги
boots_normal_boneweave_boots|Boneweave Boots|Костяные сапоги
boots_normal_crusader_marchers|Crusader Marchers|Походные сапоги крестоносца
boots_normal_demonplate_boots|Demonplate Boots|Демонические латные сапоги
boots_normal_scarabshell_boots|Scarabshell Boots|Сапоги из панциря скарабея
boots_normal_wyrmhide_boots|Wyrmhide Boots|Сапоги из кожи змея
||
[boots_unique]||
boots_darkhide_boots|Darkhide Boots|
boots_tundra_marchers|Tundra Marchers|
boots_tribal_boots|Tribal Boots|
boots_wizards_boots|Wizard Boots|
boots_mevius_mighty_marchers|Mevius' Mighty Marchers|
boots_molten_boots|Molten Boots|
boots_frozen_marchers|Frozen Marchers|
boots_zeus_battle_boots|Zeus' Battle Boots|
boots_rednecks_working_boots|Redneck's Working Boots|
boots_pirate_captains_boots|Pirate Captain's Boots|
boots_death_lords_marchers|Death Lord's Marchers|
boots_vikings_sacred_boots|Viking's Sacred Boots|
boots_boots_of_blood|Boots of Blood|
boots_hermes_boots|Hermes Boots|
boots_treasure_hunters_boots|Treasure Hunter's Boots|
boots_gladiators_battle_sandals|Gladiator's Battle Sandals|
boots_dantes_boots|Dante's Boots|
boots_sacred_marchers|Sacred Marchers|
boots_boots_of_wild|Boots of Wild|
boots_flaming_marchers|Flaming Marchers|
boots_mosarathim_marchers|Mos'Arathim Marchers|
boots_vagabonds_marchers|Vagabond's Marchers|
boots_bone_conjurers_marchers|Bone Conjurer's Marchers|
boots_lumberjacks_forestry_boots|Lumberjack's Forestry Boots|
boots_bloodletters_plated_boots|Blood-letter's Plated Boots|
boots_shield_bearers_greaves|Shield Bearer's Greaves|
boots_juggernauts_victory_marchers|Juggernaut's Victory Marchers|
boots_justiciars_thunder_boots|Justiciar's Thunder Boots|
boots_lost_masters_marchers|Lost Master's Marchers|
boots_earth_shapers_boots|Earth Shaper's Boots|
boots_plunderers_deck_marchers|Plunderer's Deck Marchers|
boots_battle_worn_boots|Battle Worn Boots|
boots_steadfast_marchers|Steadfast Marchers|
boots_spiked_greaves|Spiked Greaves|
boots_arena_masters_marchers|Arena Master's Marchers|
boots_satans_molten_steps|Satan's Molten Steps|
boots_pearlescent_dream|Pearlescent Dream|
boots_manawoven_walkers|Mana-Woven Walkers|
boots_whisper_walkers_feiyue|Whisper Walker's Feiyue|
boots_voodoo_stompers|Voodoo Stompers|
boots_grand_wizards_silk_shoes|Grand Wizard's Silk Shoes|
boots_lava_treaders|Lava Treaders|
boots_deep_chilled_marchers|Deep Chilled Marchers|
boots_wind_walkers_step|Wind Walker's Step|
boots_arch_wizards_silk_boots|Arch Wizard's Silk Boots|
boots_chronomancers_omnipotence|Chronomancer's Omnipotence|
boots_ymirs_freezing_boots|Ymir's Freezing Boots|
boots_einars_icy_stride|Einar's Icy Stride|
boots_grimbones_marchers|Grimbone's Marchers|
boots_aetherflow_treads|Aetherflow Treads|
boots_runescribes_striders|Runescribe's Striders|
boots_players_choice|Pla-Yer's Choice|
boots_mosarathims_kicks|Mos'Arathim's Kicks|
boots_stalwart_sabatons|Stalwart Sabatons|
boots_onslaught_stompers|Onslaught Stompers|
boots_mystic_soles|Mystic Soles|
boots_enigmas_riftwalkers|Enigma's Riftwalkers|
boots_vipermagis_sprinters|Vipermagi's Sprinters|
boots_tareks_tradeoff|Tarek's Tradeoff|
boots_lunar_prophets_walkers|Lunar Prophet's Walkers|
boots_soulflaming_marchers|Soulflaming Marchers|
boots_arcs_walkers|Arc's Walkers|
boots_marchers_of_hatred|Marcher's of Hatred|
boots_thunder_callers_treads|Thunder Caller's Treads|
boots_steampowered_flamewalkers|Steampowered Flamewalkers|
boots_developer_boots|DEVELOPRE BOOT|
boots_lost_at_sea|Stranded Boot|
boots_rocket_boots|Rocket Boots|
boots_fumas_favela_flipflop|Fumacinha´s Favela Flipflop|
boots_metal_vocalists_war_boots|Metal Vocalist´s War Boots|
boots_venom_roamers|Venom Roamers|
boots_thunder_roamers|Thunder Roamers|
boots_chaoswalkers|Chaoswalkers|
boots_chilling_roamers|Chilling Roamers|
boots_scorching_roamers|Scorching Roamers|
boots_astral_roamers|Astral Roamers|
boots_brutal_roamers|Brutal Roamers|
boots_deserts_storm|Desert´s Storm|
boots_adamant_roamers|Adamant Roamers|
||
lore_boots_wind_walkers_step|An ancient martial artist knows to go by the name of Wind Walker was said to be so agile he could run in the air using these carefully crafted boots.|Предания гласят о мастере боевых искусств по прозвищу Ветроход. Он был столь стремителен, что в этих искусно сработанных сапогах мог бежать по самому воздуху.|
lore_boots_pearlescent_dream|In our dreams we are released from the mortal burden; in our own bubble we can conquer the largest mountain or swim in the deepest ocean.|Холодный блеск жемчуга, рожденного в тишине морских глубин, дарует легкость призрака. Иллюзорное марево сопровождает каждый твой шаг. В мире, полном боли и тлена, эти сапоги — единственный путь в край, где страдания растворяются в мягком свете перламутра.|
